a 	a1
describe	diễn tả, miêu tả, mô tả
description	sự mô tả, sự tả, sự miêu tả
desert	sa mạc; công lao, giá trị; rời bỏ, bỏ trốn
deserted	hoang vắng, không người ở
deserve	đáng, xứng đáng
design	kế hoạch, đề cương; phác họa, thiết kế
desire	ước muốn; thèm muốn, ao ước
desk	bàn (học sinh, viết, làm việc)
desperate	liều mạng, liều lĩnh; tuyệt vọng
despite	dù, mặc dù, bất chấp
destroy	phá, phá hoại, phá huỷ, tiêu diệt, triệt phá
destruction	sự phá hoại, sự phá hủy, sự tiêu diệt
detail	chi tiết
detailed	cặn kẽ, tỉ mỉ, nhiều chi tiết
determination	sự xác định, sự định rõ; sự quyết định
determined	đã được xác định, đã được xác định rõ
determine	xác định, định rõ; quyết định
develop	phát triển, mở rộng; trình bày, bày tỏ
development	sự phát triển, sự trình bày, sự bày tỏ 
device	kế sách; thiết bị, dụng cụ, máy móc
devoted	hiến dâng cho; hết lòng, nhiệt tình 
devote	hiến dâng, dành hết cho
diagram	biểu đồ
diamond	kim cương
diary	sổ nhật ký; lịch ghi nhớ
dictionary	từ điển
die	chết, từ trần, hy sinh
diet	chế độ ăn uống, chế độ ăn kiêng
difference	sự khác nhau
different	khác, khác biệt, khác nhau
difficult	khó, khó khăn, gay go
difficulty	sự khó khăn, nỗi khó khăn, điều cản trở
dig	đào bới, xới
dinner	bữa trưa, chiều 
direct	trực tiếp, thẳng; điều khiển
direction	sự điều khiển, sự chỉ huy
directly	trực tiếp, thẳng
director	giám đốc, người điều khiển, chỉ huy
dirt	đồ bẩn thỉu, đồ dơ bẩn, vật rác rưởi
dirty	bẩn thỉu, dơ bẩn
disabled	bất lực, không có khă năng
disadvantage	sự bất lợi, sự thiệt hại
disagree	không đồng ý, khác, không giống; không hợp
disagreement	sự bất đồng, sự không đồng ý, sự khác nhau
disappear	biến mất, biến đi
disappoint	thất ước, làm thất bại
disappointed	thất vọng
disappointing	làm chán ngán, làm thất vọng
disappointment	sự chán ngán, sự thất vọng
disapproval	sự phản đổi, sự không tán thành
disapprove	không tán thành, phản đối, chê
disapproving	phản đối
disaster	tai họa, thảm họa
disc	đĩa
discipline	kỷ luật
discount	sự chiết khấu, tiền bớt, chiết khấu
discover	khám phá, phát hiện ra, nhận ra
discovery	sự khám phá, sự phát hiện ra
discuss	thảo luận, tranh luận
discussion	sự thảo luận, sự tranh luận
disease	căn bệnh, bệnh tật
disgust	làm ghê tởm, làm kinh tởm, làm phẫn nộ
disgusted	chán ghét, phẫn nộ
disgusting	là ghê tởm
dish	đĩa (đựng thức ăn)
dishonest	bất lương, không thành thật
disk	đĩa, đĩa hát
dislike	sự không ưa, không thích, sự ghét
dismiss	giải tán (quân đội, đám đông); sa thải (người làm)
display	phô trương, trưng bày; phô bày, trưng bày
dissolve	tan rã, phân hủy, giải tán
distance	khoảng cách, tầm xa
distinguish	phân biệt, nhận ra, nghe ra
distribute	phân bổ, phân phối, sắp xếp, phân loại
distribution	sự phân phối, phân phát, sự sắp xếp
district	huyện, quận
disturb	làm náo động, quấy rầy
disturbing	xáo trộn
divide	chia, chia ra, phân ra
division	sự chia, sự phân chia, sự phân loại
divorced	không còn là vợ chồng, ly dị
divorce	sự ly dị
doctor	bác sĩ y khoa, tiến sĩ
document	văn kiện, tài liệu, tư liệu
do	làm
dog	chó
dollar	đô la Mỹ
domestic	vật nuôi trong nhà, (thuộc) nội trợ
dominate	có ảnh hưởng, chi phối; kiềm chế
door	cửa, cửa ra vào
dot	chấm nhỏ, điểm; của hồi môn
double	đôi, hai, kép; cái gấp đôi; làm gấp đôi
doubt	sự nghi ngờ, sự ngờ vực; nghi ngờ, ngờ vực
down	xuống
downstairs	ở dưới nhà, ở tầng dưới; xống gác; tầng dưới
downward	xuống, đi xuống
downwards	xuống, đi xuống
dozen	tá (12)
draft	bản phác thảo, sơ đồ thiết kế; phác thảo, thiết kế
drag	lôi kéo, kéo lê
drama	kịch, tuồng
dramatic	như kịch, như đóng kịch, thích hợp với sân khấu
draw	vẽ, kéo
drawer	người vẽ, người kéo 
drawing	bản vẽ, bức vẽ, sự kéo
dream	giấc mơ, mơ
dress	quần áo, mặc (quần áo), ăn mặc
dressed	cách ăn mặc
drink	đồ uống; uống
drive	lái, đua xe; cuộc đua xe (điều khiển)
driver	người lái xe
driving	sự lái xe, cuộc đua xe
drop	chảy nhỏ giọt, rơi, rớt; giọt (nước, máu...)
drug	thuốc, dược phẩm; ma túy
drugstore	hiệu thuốc, cửa hàng dược phẩm
drum	cái trống, tiếng trống
drunk	say rượu
dry	khô, cạn; làm khô, sấy khô
due	đến kỳ hạn (trả nợ); xứng đáng, thích đáng
dull	chậm hiểu, ngu đần
dump	đổ rác; đống rác, nơi đổ rác
during	trong lúc, trong thời gian
dust	bụi, rác; rắc (bụi, phấn), quét bụi, phủi bụi
duty	sự tôn kính, kính trọng; bồn phận, trách nhiệm
DVD	đĩa DVD (đĩa CD dung lượng lớn)
dying	sự chết 
each	mỗi
each-other	nhau, lẫn nhau
ear	tai
early	sớm
earn	kiếm (tiền), giành (phần thưởng)
earth	đất, trái đất
ease	sự thanh thản, sự thoải mái; làm thanh thản, làm yên tâm, làm dễ chịu
easily	dễ dàng
east	hướng đông, phía đông, (thuộc) đông, ở phía đông
eastern	đông
easy	dễ dàng, dễ tính, ung dung
eat	ăn
economic	(thuộc) Kinh tế 
economy	sự tiết kiệm, sự quản lý kinh tế
edge	lưỡi, cạnh sắc
edition	nhà xuất bản, sự xuất bản
editor	người thu thập và xuất bản, chủ bút
educated	được giáo dục, được đào tạo
educate	giáo dục, cho ăn học; rèn luyện
education	sự giáo dục, sự rèn luyện (kỹ năng)
effect	hiệu ứng, hiệu quả, kết quả
effective	có kết quả, có hiệu lực
effectively	có kết quả, có hiệu lực
efficient	có hiệu lực, có hiệu quả
effort	sự cố gắng, sự nỗ lực
e.g.	Viết tắt của exempli gratia
egg	trứng
eighteen	mười tám
eight	tám
eighth	thứ tám
eighty	tám mươi
either	mỗi, một; cũng phải thế
elbow	khuỷu tay
elderly	có tuổi, cao tuổi
elect	bầu, quyết định
election	sự bầu cử, cuộc tuyển cử
electrical	(thuộc) điện
electric	(thuộc) điện, có điện, phát điện
electricity	điện, điện lực; điện lực học
electronic	(thuộc) điện tử
elegant	thanh lịch, tao nhã
element	yếu yếu, nguyên tố
elevator	máy nâng, thang máy
eleven	mười một
else	khác, nữa; nếu không
elsewhere	ở một nơi nào khác
email	thư điện tử; gửi thư điện tử
embarrassed	lúng túng, bối rối, ngượng; mang nợ
embarrass	lúng túng; làm rắc rối, gây khó khăn
embarrassing	làm lúng túng, ngăn trở
embarrassment	sự lúng túng, sự bối rối
emerge	nổi lên, hiện ra; nổi bật lên
emergency	tình trạng khẩn cấp
emotional	xúc động, xúc cảm; dễ cảm động, dễ xúc cảm
emotion	xự xúc động, sự cảm động, mối xác cảm
emphasis	sự nhấn mạnh, tầm quan trọng
emphasize	nhấn mạnh, làm nổi bật
empire	đế chế, đế quốc
employee	người lao động, người làm công
employ	dùng, thuê ai làm gì
employer	chủ, người sử dụng lao động
employment	sự thuê mướn
empty	trống, rỗng; đổ, dốc; uống, làm cạn
enable	có khả năng; cho phép ai làm gì
encounter	chạm chán, bắt gặp; sự chạm trán, sự bắt gặp
encourage	ủng hộ, giúp đỡ, làm can đảm, mạnh dạn
encouragement	động viên, khuyến khích, sự làm can đảm
end	giới hạn, sự kết thúc; kết thúc, chấm dứt
ending	sự kết thúc, sự chấm dứt; phần cuối, kết cục
enemy	kẻ thù, quân địch
energy	năng lượng, nghị lực, sinh lực
engaged	đã đính ước, đã hứa hôn; đã có người
engage	hứa hẹn, cam kết, đính ước
engine	máy, động cơ
engineer	kỹ sư
engineering	nghề kỹ sư, công việc của kỹ sư
enjoyable	thú vị, thích thú
enjoy	thích thú cái gì, được hưởng, có được
enjoyment	sự thích thú, sự có được, được hưởng
enormous	to lớn, khổng lồ
enough	đủ
enquiry	sự điều tra, sự thẩm vấn
ensure	bảo đảm, chắc chắn
enter	đi vào, gia nhập
entertain	giải trí, tiếp đón, chiêu đãi
entertainer	người quản trò, người tiếp đãi, chiêu đãi
entertaining	giải trí
entertainment	sự giải trí, sự tiếp đãi, chiêu đãi
enthusiasm	sự hăng hái, sự nhiệt tình
enthusiastic	hăng hái, say mê, nhiệt tình
entire	toàn thể, toàn bộ
entirely	toàn vẹn, trọn vẹn, toàn bộ
entitle	cho tiêu đề, cho tên (sách); cho quyền làm gì
entrance	sự đi vào, sự nhậm chức
entry	ghi sổ sách, sự đi vào, sự tiếp nhận
envelope	phong bì
environmental	thuộc về môi trường
environment	môi trường, hoàn cảnh xung quanh
equal	bằng; người ngang hàng, ngang tài, sức; bằng
equally	bằng nhau, ngang bằng
equipment	trang, thiết bị
equivalent	tương đương; từ, vật tương đương
error	lỗi, sự sai sót, sai lầm
escape	trốn thoát, thoát khỏi; sự trốn thoát, lỗi thoát
especially	đặc biệt là, nhất là
essay	bài tiểu luận
essential	bản chất, thực chất, cốt yếu; yếu tố cần thiết
essentially	về bản chất, về cơ bản
establish	lập, thành lập
estate	tài sản, di sản, bất động sản
estimate	sự ước lượng, đánh giá; ước lượng, đánh giá
etc.	vân vân
euro	đơn vị tiền tệ của liên minh châu Âu
even	ngay cả, lại còn; bằng phẳng, điềm đạm
evening	buổi chiều, tối
event	sự việc, sự kiện
eventually	cuối cùng
ever	từng, từ trước tới giờ
everybody	mọi người
every	mỗi, mọi
everyone	mọi người
everything	mọi vật, mọi thứ
everywhere	mọi nơi
evidence	điều hiển nhiên, điều rõ ràng
evil	xấu, ác; điều xấu, điều ác, điều tai hại
ex	tiền tố đầu danh từ
exact	chính xác, đúng
exactly	chính xác, đúng đắn
exaggerated	cường điệu, phòng đại
exaggerate	cường điệu, phóng đại
exam	viết tắt của Examination 
examination	sự thi cử, kỳ thi
examine	thẩm tra, khám xét, hỏi han
example	thí dụ, ví dụ
excellent	xuất sắc, xuất chúng
except	trừ ra, không kể; trừ phi
exception	sự trừ ra, sự loại ra
exchange	trao đổi; sự trao đổi
excited	bị kích thích, bị kích động
excite	kích thích, kích động
excitement	sự kích thích, sự kích động
exciting	hứng thú, thú vị
exclude	ngăn chạn, loại trừ
excluding	ngoài ra, trừ ra
excuse	lời xin lỗi, bào chữa; xin lỗi, tha thứ, tha lỗi
executive	sự thi hành;sự thi hành, chấp hành
exercise	bài tập,sự thực hiện; làm, thi hành, thực hiện
exhibit	trưng bày, triển lãm; vật trưng bày,triển lãm
exhibition	cuộc triển lãm, trưng bày
existence	sự tồn tại, sự sống
exist	tồn tại, sống
exit	lỗi ra, sự đi ra, thoát ra
expand	mở rộng, phát triển, nở, giãn ra
expectation	sự mong chờ, sự chờ đợi
expected	được chờ đợi, được hy vọng
expect	chờ đợi, mong ngóng; liệu trước
expense	chi phí
expensive	đắt
experienced	có kinh nghiệm, từng trải, giàu kinh nghiệm
experience	kinh nghiệm; trải qua, nếm mùi
experiment	cuộc thí nghiệm; thí nghiệm
expert	chuyên gia; chuyên môn, thành thạo
explain	giải nghĩa, giải thích
explanation	sự giải nghĩa, giải thích
explode	đập tan (hy vọng...), làm nổ, nổ
explore	thăm dò, thám hiểm
explosion	sự nổ, sự phát triển ồ ạt
export	xuất khẩu; hàng xuất khẩu, sự xuất khẩu
expose	trưng bày, phơi bày
express	diễn tả, biểu lộ, bày tỏ; nhanh, tốc hành
expression	sự diễn tả, sự bày tỏ, biểu lộ, sự diễn đạt
extend	giơ, duỗi ra (tay, chân..); kéo dài (thời gian..)
extension	sự giơ, duỗi; sự kéo dài, sự dành cho, gửi lời
extensive	rộng rãi, bao quát
extent	quy mô, phạm vi
extra	thêm, phụ, ngoại; thứ thêm, phụ
extraordinary	đặc biệt, lạ thường, khác thường
extreme	khắc nghiệt, quá khích, cực đoan; sự quá khích
extremely	vô cùng, cực độ
eye	mắt
face	mặt, thể diện; đương đầu, đối phó, đối mặt
facility	điều kiện dễ dàng, sự dễ dàng, thuận lợi
fact	việc, sự việc, sự kiện
factor	nhân tố
factory	nhà máy, xí nghiệp, xưởng
fail	sai, thất bại
failure	sự thất bại, người thất bại
faint	nhút nhát, yếu ớt
fair	hợp lý, công bằng; thuận lợi
fairly	hợp lý, công bằng
faith	sự tin tưởng, tin cậy; niềm tin, vật đảm bảo
faithful	trung thành, chung thủy, trung thực
faithfully	trung thành, chung thủy, trung thực
fall	rơi, ngã, sự rơi, ngã
false	sai, nhầm, giả dối
fame	tên tuổi, danh tiếng
familiar	thân thiết, quen thộc
family	gia đình, thuộc gia đình
famous	nổi tiếng
fancy	tưởng tượng, cho, nghĩ rằng; tưởng tượng
fan	người hâm mộ
far	xa
farmer	nông dân, người chủ trại
farm	trang trại
farming	công việc trồng trọt, đồng áng
farther	xa hơn
farthest	xa nhất
fashionable	đúng mốt, hợp thời trang
fashion	mốt, thời trang
fasten	buộc, trói 
fast	nhanh
fat	béo, béo bở; mỡ, chất béo
father	cha (bố)
faucet	vòi (ở thùng rượu....)
fault	sự thiết sót, sai sót
favour	thiện ý, sự quý mến; sự đồng ý; sự chiếu cố
favourite	được ưa thích; người (vật) được ưa thích
fear	sự sợ hãi, e sợ; sợ, lo ngại
feather	lông chim
feature	điểm đặc trưng; mô tả nét đặc biệt
February	tháng 2
federal	liên bang
feed	cho ăn, nuôi
fee	tiền thù lao, học phí
feel	cảm thấy, cảm giác
feeling	sự cảm thấy, cảm giác
fellow	anh chàng (đang yêu), đồng chí
female	thuộc giống cái; giống cái
fence	hàng rào
festival	lễ hội, đại hội liên hoan
fetch	đem về; làm bực mình; làm say mê, quyến rũ
fever	cơn sốt, bệnh sốt
few	ít,vài; một ít, một vài
field	cánh đồng, bãi chiến trường
fifteen	15
fifth	thứ tự số năm
fifty	50
fight	chiến đấu; sự đấu tranh, cuộc chiến đấu
figure	hình dáng, nhân vật; hình dung, miêu tả
file	hồ sơ, tài liệu
fill	làm đấy, lấp kín
film	phim, được dựng thành phim
final	cuối cùng, cuộc đấu chung kết
finally	cuối cùng, sau cùng
finance	tài chính; tài trợ, cấp vốn
financial	thuộc (tài chính)
find	tìm, tìm thấy
fine	tốt, giỏi
finely	đẹp đẽ, tế nhị, cao thượng
finger	ngón tay
finished	hoàn tất, hoàn thành
finish	kết thúc, hoàn thành; sự kết thúc, phần cuối
fire	lửa; đốt cháy
firm	hãng, công ty;kiên quyết, vũng vàng, mạnh mẽ
firmly	vững chắc, kiên quyết
first	đầu tiên, trước hết; người, vật đầu tiên, thứ nhất
fish	cá, món cá; câu cá, bắt cá
fishing	sự câu cá, sự đánh cá
fit	hợp, vừa; thích hợp, xứng đáng
five	5
fixed	đứng yên, bất động
fix	đóng, gắn, lắp; sửa chữa, sửa sang
flag	quốc kỳ
flame	ngọn lửa
flash	loé sáng, vụt sáng; ánh sáng lóe lên, đèn nháy
flat	bẹt, nhẵn; dãy phòng, căn phòng, mặt phẳng
flavour	vị, mùi; cho gia vị, làm tăng thêm mùi vị
flesh	thịt
flight	sự bỏ chạy, rút chạy; sự bay, chuyến bay
float	nổi, trôi, lơ lửng
flood	lụt, lũ lụtl; tràn đầy, tràn ngập
floor	sàn, tầng (nhà)
flour	bột, bột mỳ
flower	hoa, bông, đóa, cây hoa
flow	sự chảy; chảy
flu	bệnh cúm
fly	bay; sự bay, quãng đường bay
flying	biết bay; sự bay, chuyến bay
focus	tập trung; trung tâm, trọng tâm (n.bóng)
fold	gấp, vén, xắn; nếp gấp
folding	gấp lại được
follow	đi theo sau, theo, tiếp theo
following	tiếp theo, theo sau, sau đây; sau, tiếp theo
food	đồ ăn, thức, món ăn
football	bóng đá
foot	chân, bàn chân
force	sức mạnh; ép buộc, cưỡng ép
forecast	sự dự đoán, dự báo; dự đoán, dự báo
foreign	(thuộc) nước ngoài, ở nước ngoài
forest	rừng
forever	mãi mãi
for	cho, dành cho...
forget	quên
forgive	tha, tha thứ
fork	cái nĩa
formal	hình thức
former	trước, cũ, xưa, nguyên
formerly	trước đây, thuở xưa
form	hình dạng, hình thức; làm thành, được tạo thành
formula	công thức, thể thức, cách thức
fortune	sự giàu có, sự thịnh vượng
forty	bốn mươi
forward	ở phía trước, tiến về phía trước
foundation	sự thành lập, sự sáng lập; tổ chức
found	tìm, tìm thấy
four	bốn
fourteen	14
fourth	vị trí thứ 4
frame	cấu trúc, hệ thống; dàn xếp, bố trí
freedom	sự tự do; nền tự do
free	miễn phí, tự do, giải phóng, trả tự do
freely	tự do, thoải mái
freeze	sự giá lạnh; làm đông, làm đóng băng
frequent	thường xuyên
frequently	một cách thường xuyên
fresh	tươi, tươi tắn
freshly	tươi mát, khỏe khoắn
Friday	thứ Sáu
fridge	tủ lạnh
friend	người bạn
friendly	thân thiện, thân mật
friendship	tình bạn, tình hữu nghị
frightened	hoảng sợ, khiếp sợ
frighten	làm sợ, làm hoảng sợ
frightening	kinh khủng, khủng khiếp
from	từ
front	mặt; đằng trước, về phía trước
frozen	lạnh giá
fruit	quả, trái cây
fry	rán, chiên; thịt rán
fuel	chất đốt, nhiên liệu
full	đầy, đầy đủ
fully	đầy đủ, hoàn toàn
function	chức năng; họat động, chạy (máy)
fundamental	cơ bản, cơ sở, chủ yếu
fund	kho, quỹ; tài trợ, tiền bạc, để tiền vào công quỹ
funeral	lễ tang, đám tang
fun	sự vui đùa, sự vui thích; hài hước
funny	buồn cười, khôi hài
fur	bộ da lông thú
furniture	đồ đạc (trong nhà)
further	xa hơn nữa; thêm nữa
future	tương lai
gain	lợi, lợi ích; giành được, kiếm được, đạt tới
gallon	Galông 1gl = 4, 54 lít ở Anh,3, 78 lít ở Mỹ
gamble	đánh bạc; cuộc đánh bạc
gambling	trò cờ bạc
game	trò chơi
gap	đèo, lỗ hổng, kẽ hở; chỗ trống
garage	nhà để ô tô
garbage	lòng, ruột (thú)
garden	vườn
gas	khí, hơi đốt
gasoline	dầu lửa, dầu hỏa, xăng
gate	cổng
gather	tập hợp; hái, lượm, thu thập
gear	cơ cấu, thiết bị, dụng cụ
general	chung, chung chung; tổng
generally	nói chung, đại thể
generate	sinh, đẻ ra
generation	sự sinh ra, sự phát sinh ra; thế hệ, đời
generous	rộng lượng, khoan hồng, hào phóng
gentle	hiền lành, dịu dàng, nhẹ nhàng
gentleman	người quý phái, người thượng lưu
gently	nhẹ nhàng, êm ái, dịu dàng
genuine	thành thật, chân thật; xác thực
geography	địa lý, khoa địa lý
get	được, có được
giant	người khổng lồ; khổng lồ, phi thường
gift	quà tặng
girlfriend	bạn gái, người yêu
girl	con gái
give	cho, biếu, tặng
glad	vui lòng, sung sướng
glass	kính, thủy tinh, cái cốc, ly
global	toàn cầu, toàn thể, toàn bộ
glove	bao tay, găng tay
glue	keo, hồ; gắn lại, dán bằng keo, hồ
goal	gôn, khung thành, bàn thắng (thể thao)
god	thần, Chúa
go	đi
gold	vàng; bằng vàng
goodbye	tạm biệt; lời chào tạm biệt
good	tốt, hay, tuyệt; điều tốt, điều thiện
goods	của cải, tài sản, hàng hóa
govern	cai trị, thống trị, cầm quyền
government	chính phủ, nội các; sự cai trị
governor	thủ lĩnh, chủ; kẻ thống trị
grab	túm lấy, vồ, chộp lấy
grade	điểm, điểm số; phân loại, xếp loại
gradual	dần dần, từng bước một
gradually	dần dần, từ từ
grain	thóc lúa, hạt, hột; tính chất, bản chất
gram	đậu xanh
grammar	văn phạm
grandchild	cháu (của ông bà)
granddaughter	cháu gái
grandfather	ông
grand	rộng lớn, vĩ đại
grandmother	bà
grandparent	ông bà
grandson	cháu trai
grant	cho, ban, cấp; sự cho, sự ban, sự cấp
grass	cỏ; bãi cỏ, đồng cỏ
grateful	biết ơn, dễ chịu, khoan khoái
grave	mộ, dấu huyền; trang nghiêm, nghiêm trọng
great	to, lớn, vĩ đại
greatly	rất, lắm; cao thượng, cao cả
green	xanh lá cây
grey	xám, hoa râm (tóc)
grocery	hàng tạp hóa
ground	mặt đất, đất, bãi đất
group	nhóm
grow	mọc, mọc lên
growth	sự lớn lên, sự phát triển
guarantee	sự bảo lãnh, người bảo lãnh; cam đoan
guard	cái chắn, người bảo vệ; bảo vệ, gác, canh giữ
guess	đoán, phỏng đoán; sự đoán, sự ước chừng
guest	khách, khách mời
guide	người hướng dẫn; dẫn đường, chỉ đường
guilty	có tội, phạm tội, tội lỗi
gun	súng
guy	bù nhìn, anh chàng, gã
habit	thói quen, tập quán
hairdresser	thợ làm tóc
hair	tóc
half	một nửa, phần chia đôi, nửa giờ; nửa
hall	đại sảnh, tòa (thị chính), hội trường
hammer	búa
hand	tay, bàn tay; trao tay, truyền cho
handle	cầm, sờ mó; tay cầm, móc quai
hang	treo, mắc
happen	xảy ra, xảy đến
happily	sung sướng, hạnh phúc
happy	vui sướng, hạnh phúc
hard	cứng, rắn, hà khắc; hết sức cố gắng, tích cực
hardly	khắc nghiệt, nghiêm khắc, tàn tệ, khó khăn
harmful	gây tai hại, có hại
harm	thiệt hại, tổn hao; làm hại, gây thiệt hại
harmless	không có hại
hate	ghét; lòng căm ghét, thù hận
hat	cái mũ
hatred	lòng căm thì, sự căm ghét
have	có
have-to	phải (bắt buộc, có bổn phận phải)
headache	chứng nhức đầu
head	cái đầu (người, thú); chỉ huy, lãnh đại, dẫn đầu
heal	chữa khỏi, làm lành
health	sức khỏe, thể chất, sự lành mạnh
healthy	khỏe mạnh, lành mạnh
hear	nghe
hearing	sự nghe, thính giác
heart	tim, trái tim
heat	hơi nóng, sức nóng
heating	sự đốt nóng, sự làm nóng
heaven	thiên đường
heavily	nặng, nặng nề
heavy	nặng, nặng nề
heel	gót chân
he	nó, anh ấy, ông ấy 
height	chiều cao, độ cao; đỉnh, điểm cao
hell	địa ngục
hello	chào, xin chào; lời chào
helpful	có ích; giúp đỡ
help	giúp đỡ; sự giúp đỡ
hence	sau đây, kể từ đây; do đó, vì thế
here	đây, ở đây
her	nó, chị ấy, cô ấy, bà ấy
hero	người anh hùng
herself	chính nó, chính cô ta, chính chị ta, chính bà ta
hers	cái của cô ấy, cái của chị ấy, cái của bà ấy
hesitate	ngập ngừng, do dự
hide	trốn, ẩn nấp; che giấu
high	cao, ở mức độ cao
highlight	làm nổi bật; chỗ nổi bật nhất, đẹp, sáng nhất
highly	tốt, cao; hết sức, ở mức độ cao
highway	đường quốc lộ
hi	xin chào
hill	đồi
him	nó, hắn, ông ấy, anh ấy
himself	chính nó, chính hắn, chính ông ta, chính anh ta
hip	hông
hire	thuê, cho thuê (nhà...); sự thuê, sự cho thuê
his	của ông ấy, anh ấy; cái của nó, ông ấy,  anh ấy
historical	lịch sử, thuộc lịch sử
history	lịch sử, sử học
hit	đánh, đấm, ném trúng; đòn, cú đấm
hobby	sở thích riêng
hold	cầm, nắm, giữ; sự cầm, sự nắm giữ
hole	lỗ, lỗ trống; hang
holiday	ngày lễ, ngày nghỉ
hollow	rỗng, trống rỗng
holy	linh thiêng; sùng đạo
home	nhà; ở tại nhà, nước mình
homework	bài tập về nhà (học sinh), công việc làm ở nhà
honest	lương thiện, trung thực, chân thật
honestly	lương thiện, trung thực, chân thật
honour	danh dự, thanh danh, lòng kính trọng
hook	cái móc; bản lề; lưỡi câu
hope	hy vọng; nguồn hy vọng
horizontal	ở chân trời; ngang, nằm ngang
horn	sừng (trâu, bò...)
horror	điều kinh khủng, sự ghê rợn
horse	ngựa
hospital	bệnh viện, nhà thương
host	chủ nhà, chủ tiệc; đăng cai tổ chức (hội nghị....)
hotel	khách sạn
hot	nóng, nóng bức
hour	giờ
household	hộ, gia đình; (thuộc) gia đình
house	nhà, căn nhà, toàn nhà
housing	nơi ăn chốn ở
however	tuy nhiên, tuy vậy, dù thế nào
how	thế nào, như thế nào, làm sao, ra sao
huge	to lớn, khổng lồ
human	(thuộc) con người, loài người
humorous	hài hước, hóm hỉnh
humour	sự hài hước, sự hóm hỉnh
hundred	một trăm
hundredth	một trăm
hungry	đó
hunt	săn, đi săn
hunting	sự đi săn
hurry	sự vội vàng, sự gấp rút
hurt	làm bị thương, gây thiệt hại
husband	người chồng
ice-cream	kem
ice	băng, nước đá
idea	ý tưởng, quan niệm
ideal	(thuộc) quan niệm, tư tưởng; lý tưởng
identify	nhận biết, nhận ra, nhận dạng
identity	cá tính; tính đồng nhất, giống hệt
i.e.	nghĩa là, tức là ( id est)
if	nếu, nếu như
ignore	phớt lờ, tỏ ra không biết đến
I	tôi, tớ
illegal	trái luật, bất hợp pháp
ill	ốm
illness	sự đau yếu, ốm, bệnh tật
illustrate	minh họa, làm rõ ý
image	ảnh, hình ảnh
imaginary	tưởng tượng, ảo
imagination	trí tưởng tượng, sự tưởng tượng
imagine	tưởng tượng, hình dung; tưởng rằng, cho rằng
immediate	lập tức, tức thì
immediately	ngay lập tức
immoral	trái đạo đức, luân lý; xấu xa
impact	sự và chạm, sự tác động, ảnh hưởng
impatient	thiếu kiên nhẫn, nóng vội
implication	sự lôi kéo, sự liên can, điều gợi ý
imply	ngụ ý, bao hàm
importance	sự quan trọng, tầm quan trọng
important	quan trọng, hệ trọng
import	sự nhập, sự nhập khẩu; nhập, nhập khẩu
impose	đánh (thuế...), bắt gánh vác; đánh tráo, lợi dụng
impossible	không thể làm được, không thể xảy ra
impressed	được ghi, khắc, in sâu vào
impress	in sâu vào; gây ấn tượng, làm cảm động
impression	ấn tượng, cảm giác; sự in, đóng dấu
impressive	gấy ấn tượng mạnh; hùng vĩ, oai vệ
improve	cải thiện, cái tiến, mở mang
improvement	sự cái thiện, sự cải tiến, sự mở mang
inability	sự bất lực, bất tài
inch	insơ (đơn vị đo chiều dài Anh bằng 2, 54 cm)
incident	việc xảy ra, việc có liên quan
include	bao gồm, tính cả
including	bao gồm, kể cả
income	lợi tức, thu nhập
increase	tăng, tăng thêm; sự tăng, sự tăng thêm
increasingly	tăng thêm
indeed	thật vậy, quả thật
independence	sự độc lập, nền độc lập
independent	độc lập
index	chỉ số, sự biểu thị
indicate	chỉ, cho biết; biểu thị, trình bày ngắn gọn
indication	sự chỉ, sự biểu thị, sự biểu lộ
indirect	gián tiếp
individual	riêng, riêng biệt; cá nhân
indoor	trong nhà
indoors	ở trong nhà
industrial	(thuộc) công nghiệp, kỹ nghệ
industry	công nghiệp, kỹ nghệ
inevitable	chắc chắn xảy ra; vẫn thường thấy, nghe
inevitably	chắc chắn
infected	bị nhiễm, bị đầu độc
infect	nhiễm, tiêm nhiễm, đầu độc, lan truyền
infection	sự nhiễm, sự đầu độc
infectious	lây, nhiễm
influence	sự ảnh hưởng, sự tác dụng; ảnh hưởng, tác động
informal	không chính thức, không nghi thức
information	tin tức, tài liệu, kiến thức
inform	báo cho biết, cung cấp tin tức
ingredient	phần hợp thành, thành phần
in	ở trong 
initial	ban đầu, lúc đầu; chữ đầu (của 1 tên gọi)
initially	vào lúc ban đầu, ban đầu
initiative	bước đầu, sự khởi đầu
injured	bị tổn thương, bị xúc phạm
injure	làm tổn thương, làm hại, xúc phạm
injury	sự làm tổn thương; điều hại, điều tổn hại
ink	mực
inner	ở trong, nội bộ; thân cận
innocent	vô tội, trong trắng, ngây thơ
insect	sâu bọ, côn trùng
insert	chèn vào, lồng vào
inside	mặt trong, phía, phần trong; ở trong, nội bộ
insist	cứ nhất định, cứ khăng khăng
install	đặt (hệ thống máy móc, thiết bị...)
instance	thí dị, ví dụ; trường hợp cá biệt
instead	để thay thế
instead-of	thay cho
institute	viện, học viện
institution	sự thành lập, lập; cơ quan, trụ sở
instruction	sự dạy, tài liệu cung cấp
instrument	dụng cụ âm nhạc khí
insulting	lăng mạ, xỉ nhục
insult	lăng mạ, xỉ nhục; lời lăng mạ, sự xỉ nhục
insurance	sự bảo hiểm
intelligence	sự hiểu biết, trí thông minh
intelligent	thông minh, sáng trí
intended	có ý định, có dụng ý
